Order Country,Orders,Delayed,On_Time_or_Early,Avg_Delay_Gap_Days,Delay_Rate,On_Time_or_Early_Rate,Efficiency_Index,Regional_Delay_Index
Yemen,59,42,17,0.9322033898305084,71.1864406779661,28.8135593220339,28.8135593220339,124.25639718044408
Moldavia,76,54,22,1.4210526315789473,71.05263157894737,28.947368421052634,28.947368421052634,124.02283252408985
Ecuador,279,197,82,0.6845878136200717,70.60931899641577,29.39068100358423,29.39068100358423,123.24902751564272
Turkmenistán,53,37,16,0.6792452830188679,69.81132075471697,30.18867924528302,30.18867924528302,121.85611637237619
Costa Rica,36,25,11,1.3055555555555556,69.44444444444444,30.555555555555557,30.555555555555557,121.21573137642527
Botsuana,13,9,4,0.6153846153846154,69.23076923076923,30.76923076923077,30.76923076923077,120.84275989526702
Emiratos Árabes Unidos,29,20,9,0.5862068965517241,68.96551724137932,31.03448275862069,31.03448275862069,120.37976081520856
Sri Lanka,16,11,5,0.875,68.75,31.25,31.25,120.00357406266102
Yibuti,31,21,10,0.6129032258064516,67.74193548387096,32.25806451612903,32.25806451612903,118.2439908652613
Somalia,133,90,43,0.6240601503759399,67.66917293233082,32.33082706766917,32.33082706766917,118.11698335627605
Lesoto,15,10,5,0.8,66.66666666666666,33.33333333333333,33.33333333333333,116.36710212136825
Chipre,12,8,4,0.25,66.66666666666666,33.33333333333333,33.33333333333333,116.36710212136825
Mongolia,79,52,27,1.2784810126582278,65.82278481012658,34.177215189873415,34.177215189873415,114.89410082869271
Níger,105,69,36,0.6952380952380952,65.71428571428571,34.285714285714285,34.285714285714285,114.70471494820585
Mozambique,238,156,82,0.8613445378151261,65.54621848739495,34.45378151260504,34.45378151260504,114.41135250588307
República Centroafricana,23,15,8,0.6521739130434783,65.21739130434783,34.78260869565217,34.78260869565217,113.83738251003417
Croacia,79,51,28,0.6075949367088608,64.55696202531645,35.44303797468354,35.44303797468354,112.68459888967939
Trinidad y Tobago,126,81,45,0.9365079365079365,64.28571428571429,35.714285714285715,35.714285714285715,112.21113418846227
Hungría,175,112,63,0.6171428571428571,64.0,36.0,36.0,111.71241803651353
Irlanda,468,298,170,0.717948717948718,63.67521367521367,36.324786324786324,36.324786324786324,111.14550138515303
Camboya,146,92,54,0.5,63.013698630136986,36.986301369863014,36.986301369863014,109.99082255307411
Malasia,529,333,196,0.6275992438563327,62.948960302457465,37.051039697542535,37.051039697542535,109.87782137925038
Chile,708,444,264,0.6440677966101694,62.71186440677966,37.28813559322034,37.28813559322034,109.46396894467694
Costa de Marfil,249,156,93,0.8433734939759037,62.65060240963856,37.34939759036144,37.34939759036144,109.35703572851476
Ghana,256,160,96,0.93359375,62.5,37.5,37.5,109.09415823878274
Israel,252,156,96,0.5476190476190477,61.904761904761905,38.095238095238095,38.095238095238095,108.05516625555624
Rumania,425,263,162,0.6329411764705882,61.882352941176464,38.11764705882353,38.11764705882353,108.01605126324654
República Democrática del Congo,977,604,373,0.6284544524053224,61.82190378710338,38.17809621289662,38.17809621289662,107.91053686996894
Angola,297,183,114,0.8383838383838383,61.61616161616161,38.38383838383838,38.38383838383838,107.55141256671914
Corea del Sur,570,351,219,0.7649122807017544,61.578947368421055,38.421052631578945,38.421052631578945,107.48645485421122
Belice,13,8,5,0.23076923076923078,61.53846153846154,38.46153846153847,38.46153846153847,107.41578657357071
Siria,56,34,22,1.0535714285714286,60.71428571428571,39.285714285714285,39.285714285714285,105.97718228910323
Bolivia,208,126,82,0.8221153846153846,60.57692307692307,39.42307692307692,39.42307692307692,105.73741490835866
Perú,725,439,286,0.6496551724137931,60.55172413793104,39.44827586206897,39.44827586206897,105.6934299957531
Austria,1332,806,526,0.5765765765765766,60.51051051051051,39.489489489489486,39.489489489489486,105.62149133989055
